base_topology,labeling_id,circuit_family,logical_qubits,optimization_level,transpiler_seed,output_two_qubit_depth,baseline_two_qubit_depth,two_qubit_depth_penalty
line_27,identity,qft,4,0,11,27,10,2.7
line_27,identity,qft,4,0,22,22,10,2.2
line_27,identity,qft,4,0,33,21,10,2.1
line_27,identity,qft,4,0,44,22,10,2.2
line_27,identity,qft,4,0,55,21,10,2.1
line_27,identity,qft,4,1,11,19,10,1.9
line_27,identity,qft,4,1,22,19,10,1.9
line_27,identity,qft,4,1,33,19,10,1.9
line_27,identity,qft,4,1,44,19,10,1.9
line_27,identity,qft,4,1,55,19,10,1.9
line_27,identity,qft,4,3,11,15,10,1.5
line_27,identity,qft,4,3,22,17,10,1.7
line_27,identity,qft,4,3,33,15,10,1.5
line_27,identity,qft,4,3,44,17,10,1.7
line_27,identity,qft,4,3,55,17,10,1.7
line_27,identity,qft,8,0,11,84,26,3.230769230769231
line_27,identity,qft,8,0,22,83,26,3.1923076923076925
line_27,identity,qft,8,0,33,77,26,2.9615384615384617
line_27,identity,qft,8,0,44,75,26,2.8846153846153846
line_27,identity,qft,8,0,55,77,26,2.9615384615384617
line_27,identity,qft,8,1,11,63,26,2.423076923076923
line_27,identity,qft,8,1,22,68,26,2.6153846153846154
line_27,identity,qft,8,1,33,70,26,2.6923076923076925
line_27,identity,qft,8,1,44,63,26,2.423076923076923
line_27,identity,qft,8,1,55,63,26,2.423076923076923
line_27,identity,qft,8,3,11,52,26,2.0
line_27,identity,qft,8,3,22,52,26,2.0
line_27,identity,qft,8,3,33,57,26,2.1923076923076925
line_27,identity,qft,8,3,44,49,26,1.8846153846153846
line_27,identity,qft,8,3,55,55,26,2.1153846153846154
line_27,identity,qft,12,0,11,148,42,3.5238095238095237
line_27,identity,qft,12,0,22,134,42,3.1904761904761907
line_27,identity,qft,12,0,33,171,42,4.071428571428571
line_27,identity,qft,12,0,44,160,42,3.8095238095238093
line_27,identity,qft,12,0,55,165,42,3.9285714285714284
line_27,identity,qft,12,1,11,119,42,2.8333333333333335
line_27,identity,qft,12,1,22,113,42,2.6904761904761907
line_27,identity,qft,12,1,33,115,42,2.738095238095238
line_27,identity,qft,12,1,44,109,42,2.5952380952380953
line_27,identity,qft,12,1,55,117,42,2.7857142857142856
line_27,identity,qft,12,3,11,91,42,2.1666666666666665
line_27,identity,qft,12,3,22,93,42,2.2142857142857144
line_27,identity,qft,12,3,33,94,42,2.238095238095238
line_27,identity,qft,12,3,44,91,42,2.1666666666666665
line_27,identity,qft,12,3,55,97,42,2.3095238095238093
line_27,identity,qft,16,0,11,224,58,3.8620689655172415
line_27,identity,qft,16,0,22,254,58,4.379310344827586
