base_topology,circuit_family,logical_qubits,optimization_level,seeds,base_median,relabelled_median,base_min,base_max,relabelled_min,relabelled_max,absolute_shift,relative_shift,label_invariant,seed_ranges_overlap,systematic
cairo_heavy_hex_27,efficient_su2,4,0,5,3.5,4.875,3.25,3.75,4.25,5.625,1.375,1.3928571428571428,False,False,True
cairo_heavy_hex_27,efficient_su2,8,0,5,3.6875,5.125,3.3125,4.25,4.8125,6.9375,1.4375,1.3898305084745763,False,False,True
cairo_heavy_hex_27,efficient_su2,12,0,5,4.291666666666667,5.458333333333333,3.8333333333333335,5.166666666666667,4.916666666666667,6.375,1.166666666666666,1.2718446601941746,False,True,False
cairo_heavy_hex_27,efficient_su2,16,0,5,4.6875,6.9375,3.40625,5.1875,6.1875,7.125,2.25,1.48,False,False,True
cairo_heavy_hex_27,efficient_su2,20,0,5,5.175,6.475,4.45,5.85,6.325,6.7,1.2999999999999998,1.251207729468599,False,False,True
cairo_heavy_hex_27,efficient_su2,24,0,5,5.25,6.729166666666667,5.020833333333333,5.458333333333333,5.729166666666667,7.104166666666667,1.479166666666667,1.2817460317460319,False,False,True
cairo_heavy_hex_27,ghz_chain,4,0,5,1.0,7.0,1.0,1.0,7.0,10.0,6.0,7.0,False,False,True
cairo_heavy_hex_27,ghz_chain,8,0,5,3.0,7.857142857142857,2.571428571428572,3.4285714285714284,6.571428571428571,9.142857142857142,4.857142857142857,2.619047619047619,False,False,True
cairo_heavy_hex_27,ghz_chain,12,0,5,4.363636363636363,7.545454545454546,3.363636363636364,5.0,6.727272727272728,8.363636363636363,3.1818181818181825,1.729166666666667,False,False,True
cairo_heavy_hex_27,ghz_chain,16,0,5,3.933333333333333,8.0,3.466666666666667,5.133333333333334,6.0,8.6,4.066666666666666,2.0338983050847457,False,False,True
cairo_heavy_hex_27,ghz_chain,20,0,5,4.2631578947368425,7.947368421052632,4.0,5.315789473684211,7.7894736842105265,8.105263157894736,3.6842105263157894,1.8641975308641974,False,False,True
cairo_heavy_hex_27,ghz_chain,24,0,5,4.695652173913044,7.782608695652174,4.478260869565218,5.434782608695652,7.478260869565218,9.608695652173912,3.08695652173913,1.6574074074074072,False,False,True
cairo_heavy_hex_27,ghz_star,4,0,5,3.0,7.0,3.0,3.0,7.0,8.0,4.0,2.3333333333333335,False,False,True
cairo_heavy_hex_27,ghz_star,8,0,5,3.2857142857142856,7.428571428571429,2.857142857142857,4.0,6.571428571428571,9.571428571428571,4.142857142857143,2.2608695652173916,False,False,True
cairo_heavy_hex_27,ghz_star,12,0,5,4.2727272727272725,6.454545454545454,3.727272727272727,5.363636363636363,5.636363636363637,8.363636363636363,2.1818181818181817,1.5106382978723405,False,False,True
cairo_heavy_hex_27,ghz_star,16,0,5,4.133333333333334,7.2,3.6,5.333333333333333,6.2,8.0,3.0666666666666664,1.7419354838709675,False,False,True
cairo_heavy_hex_27,ghz_star,20,0,5,4.421052631578948,7.315789473684211,4.105263157894737,5.157894736842105,6.842105263157895,7.473684210526316,2.894736842105263,1.6547619047619047,False,False,True
cairo_heavy_hex_27,ghz_star,24,0,5,4.869565217391305,7.869565217391305,4.391304347826087,5.3478260869565215,6.652173913043479,8.869565217391305,3.0,1.6160714285714286,False,False,True
cairo_heavy_hex_27,qft,4,0,5,2.2,3.5,2.1,2.7,3.2,3.7,1.2999999999999998,1.5909090909090908,False,False,True
cairo_heavy_hex_27,qft,8,0,5,3.8846153846153846,4.115384615384615,3.615384615384616,4.0,3.6538461538461537,4.807692307692308,0.2307692307692304,1.0594059405940592,False,True,False
cairo_heavy_hex_27,qft,12,0,5,4.642857142857143,5.714285714285714,4.333333333333333,4.928571428571429,5.214285714285714,6.714285714285714,1.0714285714285712,1.2307692307692306,False,False,True
cairo_heavy_hex_27,qft,16,0,5,5.465517241379311,5.551724137931035,5.206896551724138,6.241379310344827,5.258620689655173,6.224137931034483,0.08620689655172331,1.0157728706624605,False,True,False
cairo_heavy_hex_27,qft,20,0,5,6.216216216216216,6.45945945945946,5.418918918918919,7.527027027027027,5.702702702702703,7.256756756756757,0.24324324324324387,1.0391304347826087,False,True,False
cairo_heavy_hex_27,qft,24,0,5,5.922222222222223,7.122222222222222,5.433333333333334,6.611111111111111,6.5777777777777775,8.166666666666666,1.1999999999999984,1.2026266416510316,False,True,False
cairo_heavy_hex_27,efficient_su2,4,1,5,2.125,2.125,2.125,2.125,2.125,2.125,0.0,1.0,True,True,False
cairo_heavy_hex_27,efficient_su2,8,1,5,2.5,2.5,2.375,3.125,2.5,2.5,0.0,1.0,True,True,False
cairo_heavy_hex_27,efficient_su2,12,1,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
cairo_heavy_hex_27,efficient_su2,16,1,5,2.6875,1.75,2.53125,3.25,1.75,3.0625,0.9375,0.6511627906976745,False,True,False
cairo_heavy_hex_27,efficient_su2,20,1,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
cairo_heavy_hex_27,efficient_su2,24,1,5,3.125,3.5,3.125,3.25,3.5,3.8958333333333335,0.375,1.12,False,False,True
cairo_heavy_hex_27,ghz_chain,4,1,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
cairo_heavy_hex_27,ghz_chain,8,1,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
cairo_heavy_hex_27,ghz_chain,12,1,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
cairo_heavy_hex_27,ghz_chain,16,1,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
cairo_heavy_hex_27,ghz_chain,20,1,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
cairo_heavy_hex_27,ghz_chain,24,1,5,2.3043478260869565,3.130434782608696,2.3043478260869565,2.3043478260869565,2.5217391304347827,3.739130434782609,0.8260869565217392,1.358490566037736,False,False,True
cairo_heavy_hex_27,ghz_star,4,1,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
cairo_heavy_hex_27,ghz_star,8,1,5,2.7142857142857144,2.2857142857142856,2.142857142857143,3.142857142857143,2.0,2.2857142857142856,0.4285714285714288,0.8421052631578947,False,True,False
cairo_heavy_hex_27,ghz_star,12,1,5,3.0,2.8181818181818183,2.909090909090909,3.090909090909091,2.727272727272727,4.0,0.18181818181818166,0.9393939393939394,False,True,False
cairo_heavy_hex_27,ghz_star,16,1,5,3.4,3.4,3.4,3.4,3.066666666666667,3.4,0.0,1.0,True,True,False
cairo_heavy_hex_27,ghz_star,20,1,5,3.526315789473684,4.421052631578948,3.421052631578948,3.842105263157895,3.736842105263158,4.789473684210527,0.8947368421052637,1.2537313432835822,False,True,False
cairo_heavy_hex_27,ghz_star,24,1,5,3.869565217391304,4.217391304347826,3.8260869565217392,4.0,4.086956521739131,4.521739130434782,0.34782608695652195,1.0898876404494382,False,False,True
cairo_heavy_hex_27,qft,4,1,5,1.8,1.8,1.8,1.8,1.8,1.8,0.0,1.0,True,True,False
cairo_heavy_hex_27,qft,8,1,5,2.769230769230769,2.5384615384615383,2.6538461538461537,2.8076923076923075,2.423076923076923,2.923076923076923,0.23076923076923084,0.9166666666666666,False,True,False
cairo_heavy_hex_27,qft,12,1,5,3.095238095238096,3.452380952380953,2.6666666666666665,3.6666666666666665,3.2142857142857144,3.928571428571429,0.3571428571428572,1.1153846153846154,False,True,False
cairo_heavy_hex_27,qft,16,1,5,3.948275862068965,3.2413793103448274,3.7586206896551726,4.103448275862069,2.913793103448276,3.9827586206896552,0.7068965517241375,0.8209606986899565,False,True,False
cairo_heavy_hex_27,qft,20,1,5,3.121621621621621,3.054054054054054,2.9864864864864864,3.783783783783784,2.918918918918919,4.4324324324324325,0.0675675675675671,0.9783549783549785,False,True,False
cairo_heavy_hex_27,qft,24,1,5,4.0,4.033333333333333,3.744444444444445,4.166666666666667,3.644444444444445,4.522222222222222,0.033333333333333215,1.0083333333333333,False,True,False
cairo_heavy_hex_27,efficient_su2,4,3,5,2.125,2.125,2.125,2.125,2.125,2.125,0.0,1.0,True,True,False
cairo_heavy_hex_27,efficient_su2,8,3,5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.0,True,True,False
cairo_heavy_hex_27,efficient_su2,12,3,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
cairo_heavy_hex_27,efficient_su2,16,3,5,2.5,1.8125,1.84375,2.75,1.25,2.0,0.6875,0.725,False,True,False
cairo_heavy_hex_27,efficient_su2,20,3,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
cairo_heavy_hex_27,efficient_su2,24,3,5,2.375,2.7916666666666665,2.145833333333333,2.6875,2.6875,3.145833333333333,0.4166666666666665,1.175438596491228,False,True,False
cairo_heavy_hex_27,ghz_chain,4,3,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
cairo_heavy_hex_27,ghz_chain,8,3,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
cairo_heavy_hex_27,ghz_chain,12,3,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
cairo_heavy_hex_27,ghz_chain,16,3,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
cairo_heavy_hex_27,ghz_chain,20,3,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
cairo_heavy_hex_27,ghz_chain,24,3,5,2.3043478260869565,2.652173913043478,2.217391304347826,2.3043478260869565,1.8695652173913044,3.0869565217391304,0.3478260869565215,1.150943396226415,False,True,False
cairo_heavy_hex_27,ghz_star,4,3,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
cairo_heavy_hex_27,ghz_star,8,3,5,2.142857142857143,1.8571428571428568,2.0,2.7142857142857144,1.8571428571428568,2.0,0.28571428571428603,0.8666666666666665,False,True,False
cairo_heavy_hex_27,ghz_star,12,3,5,2.8181818181818183,2.5454545454545454,2.1818181818181817,3.0,2.363636363636364,2.909090909090909,0.27272727272727293,0.9032258064516129,False,True,False
cairo_heavy_hex_27,ghz_star,16,3,5,3.0,3.1333333333333333,2.933333333333333,3.1333333333333333,3.066666666666667,3.1333333333333333,0.1333333333333333,1.0444444444444445,False,True,False
cairo_heavy_hex_27,ghz_star,20,3,5,3.3684210526315788,3.263157894736842,2.789473684210526,3.473684210526316,3.210526315789474,3.421052631578948,0.10526315789473673,0.96875,False,True,False
cairo_heavy_hex_27,ghz_star,24,3,5,3.347826086956522,3.4782608695652173,3.260869565217391,3.4782608695652173,3.0434782608695654,3.5217391304347827,0.13043478260869534,1.0389610389610389,False,True,False
cairo_heavy_hex_27,qft,4,3,5,1.8,1.8,1.8,1.8,1.8,1.8,0.0,1.0,True,True,False
cairo_heavy_hex_27,qft,8,3,5,2.230769230769231,2.269230769230769,1.9615384615384612,2.269230769230769,2.0,2.3461538461538463,0.038461538461538325,1.0172413793103448,False,True,False
cairo_heavy_hex_27,qft,12,3,5,2.7857142857142856,3.142857142857143,2.071428571428572,3.238095238095238,3.023809523809524,3.333333333333333,0.3571428571428572,1.1282051282051282,False,True,False
cairo_heavy_hex_27,qft,16,3,5,3.103448275862069,2.8793103448275863,2.896551724137931,3.2586206896551726,2.6206896551724137,3.4482758620689653,0.22413793103448265,0.9277777777777778,False,True,False
cairo_heavy_hex_27,qft,20,3,5,2.7972972972972974,2.9864864864864864,2.202702702702702,3.3783783783783785,2.0135135135135136,3.702702702702703,0.18918918918918903,1.0676328502415457,False,True,False
cairo_heavy_hex_27,qft,24,3,5,3.2111111111111112,2.8222222222222224,1.9555555555555555,3.577777777777778,2.522222222222222,3.1222222222222222,0.38888888888888884,0.8788927335640139,False,True,False
line_27,efficient_su2,4,0,5,3.5,7.875,3.25,3.75,6.375,8.5,4.375,2.25,False,False,True
line_27,efficient_su2,8,0,5,4.3125,11.125,3.3125,4.375,8.75,12.25,6.8125,2.579710144927536,False,False,True
line_27,efficient_su2,12,0,5,4.291666666666667,12.0,4.25,4.5,10.041666666666666,12.75,7.708333333333333,2.7961165048543686,False,False,True
line_27,efficient_su2,16,0,5,4.1875,12.78125,4.09375,4.59375,12.71875,13.625,8.59375,3.0522388059701493,False,False,True
line_27,efficient_su2,20,0,5,4.45,13.4,4.225,4.7,11.4,14.65,8.95,3.0112359550561796,False,False,True
line_27,efficient_su2,24,0,5,4.5625,14.1875,4.104166666666667,4.625,13.875,15.375,9.625,3.1095890410958904,False,False,True
line_27,ghz_chain,4,0,5,1.0,15.666666666666666,1.0,1.0,11.666666666666666,19.0,14.666666666666666,15.666666666666666,False,False,True
line_27,ghz_chain,8,0,5,1.0,13.857142857142858,1.0,1.0,11.571428571428571,16.285714285714285,12.857142857142858,13.857142857142858,False,False,True
line_27,ghz_chain,12,0,5,1.0,14.272727272727272,1.0,1.0,12.909090909090908,14.909090909090908,13.272727272727272,14.272727272727272,False,False,True
line_27,ghz_chain,16,0,5,1.0,15.6,1.0,1.0,15.0,16.533333333333335,14.6,15.6,False,False,True
line_27,ghz_chain,20,0,5,1.0,15.157894736842104,1.0,1.0,14.421052631578949,15.947368421052632,14.157894736842104,15.157894736842104,False,False,True
line_27,ghz_chain,24,0,5,1.0,15.695652173913045,1.0,1.0,15.347826086956522,17.043478260869566,14.695652173913045,15.695652173913045,False,False,True
line_27,ghz_star,4,0,5,3.0,11.0,3.0,3.0,11.0,14.666666666666666,8.0,3.6666666666666665,False,False,True
line_27,ghz_star,8,0,5,3.7142857142857135,13.0,3.571428571428572,4.0,10.857142857142858,13.285714285714286,9.285714285714286,3.500000000000001,False,False,True
line_27,ghz_star,12,0,5,4.0,13.818181818181818,4.0,4.545454545454546,12.272727272727272,14.909090909090908,9.818181818181818,3.4545454545454546,False,False,True
line_27,ghz_star,16,0,5,4.533333333333333,14.933333333333334,4.2,4.533333333333333,12.533333333333331,16.4,10.4,3.294117647058824,False,False,True
line_27,ghz_star,20,0,5,4.578947368421052,14.736842105263158,4.157894736842105,4.789473684210527,14.210526315789474,16.31578947368421,10.157894736842106,3.218390804597701,False,False,True
line_27,ghz_star,24,0,5,4.478260869565218,14.956521739130435,4.130434782608695,4.869565217391305,13.08695652173913,16.26086956521739,10.478260869565219,3.3398058252427183,False,False,True
