circuit_family,logical_qubits,topology,optimization_level,n_seeds,min,max,median,spread,relative_spread,iqr,normalized_spread,zero_spread,stratum
efficient_su2,4,cairo_heavy_hex_27,0,5,3.25,3.75,3.5,0.5,1.1538461538461537,0.25,0.14285714285714285,False,L0
efficient_su2,8,cairo_heavy_hex_27,0,5,3.3125,4.25,3.6875,0.9375,1.2830188679245282,0.3125,0.2542372881355932,False,L0
efficient_su2,12,cairo_heavy_hex_27,0,5,3.8333333333333335,5.166666666666667,4.291666666666667,1.3333333333333335,1.3478260869565217,0.33333333333333304,0.31067961165048547,False,L0
efficient_su2,16,cairo_heavy_hex_27,0,5,3.40625,5.1875,4.6875,1.78125,1.5229357798165137,0.75,0.38,False,L0
efficient_su2,20,cairo_heavy_hex_27,0,5,4.45,5.85,5.175,1.3999999999999995,1.3146067415730336,0.6999999999999993,0.2705314009661835,False,L0
efficient_su2,24,cairo_heavy_hex_27,0,5,5.020833333333333,5.458333333333333,5.25,0.4375,1.0871369294605808,0.2916666666666661,0.08333333333333333,False,L0
ghz_chain,4,cairo_heavy_hex_27,0,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L0
ghz_chain,8,cairo_heavy_hex_27,0,5,2.571428571428572,3.4285714285714284,3.0,0.8571428571428563,1.333333333333333,0.5714285714285707,0.2857142857142854,False,L0
ghz_chain,12,cairo_heavy_hex_27,0,5,3.363636363636364,5.0,4.363636363636363,1.6363636363636358,1.4864864864864862,0.18181818181818166,0.3749999999999999,False,L0
ghz_chain,16,cairo_heavy_hex_27,0,5,3.466666666666667,5.133333333333334,3.933333333333333,1.666666666666667,1.4807692307692308,1.4666666666666663,0.4237288135593221,False,L0
ghz_chain,20,cairo_heavy_hex_27,0,5,4.0,5.315789473684211,4.2631578947368425,1.3157894736842106,1.3289473684210527,0.8421052631578947,0.30864197530864196,False,L0
ghz_chain,24,cairo_heavy_hex_27,0,5,4.478260869565218,5.434782608695652,4.695652173913044,0.9565217391304346,1.2135922330097086,0.8695652173913047,0.20370370370370364,False,L0
ghz_star,4,cairo_heavy_hex_27,0,5,3.0,3.0,3.0,0.0,1.0,0.0,0.0,True,L0
ghz_star,8,cairo_heavy_hex_27,0,5,2.857142857142857,4.0,3.2857142857142856,1.1428571428571428,1.4,0.42857142857142927,0.34782608695652173,False,L0
